FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Deaths,Recovered,Active,Combined_Key,Confirmed,Country_Region
45001,Abbeville,South Carolina,2020-05-27 02:32:31,34.22333378,-82.46170658,0,0,35,"Abbeville, South Carolina, US",35,US
22001,Acadia,Louisiana,2020-05-27 02:32:31,30.2950649,-92.41419698,18,0,377,"Acadia, Louisiana, US",395,US
51001,Accomack,Virginia,2020-05-27 02:32:31,37.76707161,-75.63234615,11,0,747,"Accomack, Virginia, US",758,US
16001,Ada,Idaho,2020-05-27 02:32:31,43.4526575,-116.24155159999998,23,0,773,"Ada, Idaho, US",796,US
19001,Adair,Iowa,2020-05-27 02:32:31,41.33075609,-94.47105874,0,0,7,"Adair, Iowa, US",7,US
21001,Adair,Kentucky,2020-05-27 02:32:31,37.10459774,-85.28129668,19,0,77,"Adair, Kentucky, US",96,US
29001,Adair,Missouri,2020-05-27 02:32:31,40.19058551,-92.60078167,0,0,46,"Adair, Missouri, US",46,US
40001,Adair,Oklahoma,2020-05-27 02:32:31,35.88494195,-94.65859267,3,0,79,"Adair, Oklahoma, US",82,US
8001,Adams,Colorado,2020-05-27 02:32:31,39.87432092,-104.3362578,116,0,2848,"Adams, Colorado, US",2964,US
16003,Adams,Idaho,2020-05-27 02:32:31,44.89333571,-116.4545247,0,0,3,"Adams, Idaho, US",3,US
17001,Adams,Illinois,2020-05-27 02:32:31,39.98815591,-91.18786813,1,0,43,"Adams, Illinois, US",44,US
18001,Adams,Indiana,2020-05-27 02:32:31,40.7457653,-84.93671406,1,0,11,"Adams, Indiana, US",12,US
19003,Adams,Iowa,2020-05-27 02:32:31,41.02903567,-94.69932645,0,0,5,"Adams, Iowa, US",5,US
28001,Adams,Mississippi,2020-05-27 02:32:31,31.47669768,-91.35326037,15,0,174,"Adams, Mississippi, US",189,US
31001,Adams,Nebraska,2020-05-27 02:32:31,40.52449420000001,-98.50117804,11,0,254,"Adams, Nebraska, US",265,US
39001,Adams,Ohio,2020-05-27 02:32:31,38.84541072,-83.4718964,1,0,7,"Adams, Ohio, US",8,US
42001,Adams,Pennsylvania,2020-05-27 02:32:31,39.87140411,-77.21610347,7,0,226,"Adams, Pennsylvania, US",233,US
53001,Adams,Washington,2020-05-27 02:32:31,46.98299757,-118.5601734,0,0,53,"Adams, Washington, US",53,US
55001,Adams,Wisconsin,2020-05-27 02:32:31,43.96974651,-89.76782777,1,0,3,"Adams, Wisconsin, US",4,US
50001,Addison,Vermont,2020-05-27 02:32:31,44.03217337,-73.14130877,2,0,60,"Addison, Vermont, US",62,US
45003,Aiken,South Carolina,2020-05-27 02:32:31,33.54338026,-81.63645384,7,0,174,"Aiken, South Carolina, US",181,US
27001,Aitkin,Minnesota,2020-05-27 02:32:31,46.60962049,-93.4116826,0,0,7,"Aitkin, Minnesota, US",7,US
12001,Alachua,Florida,2020-05-27 02:32:31,29.67866525,-82.35928158,7,0,363,"Alachua, Florida, US",370,US
37001,Alamance,North Carolina,2020-05-27 02:32:31,36.0434701,-79.39976137,23,0,277,"Alamance, North Carolina, US",300,US
6001,Alameda,California,2020-05-27 02:32:31,37.64629437,-121.8929271,93,0,2893,"Alameda, California, US",2986,US
8003,Alamosa,Colorado,2020-05-27 02:32:31,37.57250606,-105.7885451,2,0,56,"Alamosa, Colorado, US",58,US
36001,Albany,New York,2020-05-27 02:32:31,42.60060306,-73.97723916,76,0,1717,"Albany, New York, US",1793,US
56001,Albany,Wyoming,2020-05-27 02:32:31,41.65498705,-105.7235415,0,0,23,"Albany, Wyoming, US",23,US
51003,Albemarle,Virginia,2020-05-27 02:32:31,38.02080697,-78.55481085,8,0,153,"Albemarle, Virginia, US",161,US
26001,Alcona,Michigan,2020-05-27 02:32:31,44.6846864,-83.59507875,1,0,10,"Alcona, Michigan, US",11,US
28003,Alcorn,Mississippi,2020-05-27 02:32:31,34.88084463,-88.57996173,1,0,13,"Alcorn, Mississippi, US",14,US
17003,Alexander,Illinois,2020-05-27 02:32:31,37.18049267,-89.32910838,0,0,8,"Alexander, Illinois, US",8,US
37003,Alexander,North Carolina,2020-05-27 02:32:31,35.922379600000006,-81.17751948,0,0,27,"Alexander, North Carolina, US",27,US
51510,Alexandria,Virginia,2020-05-27 02:32:31,38.814003,-77.08183073,41,0,1744,"Alexandria, Virginia, US",1785,US
40003,Alfalfa,Oklahoma,2020-05-27 02:32:31,36.73090616,-98.32408495,0,0,1,"Alfalfa, Oklahoma, US",1,US
19005,Allamakee,Iowa,2020-05-27 02:32:31,43.28383218,-91.37860922,4,0,114,"Allamakee, Iowa, US",118,US
26005,Allegan,Michigan,2020-05-27 02:32:31,42.59147037,-85.89102866,6,0,206,"Allegan, Michigan, US",212,US
24001,Allegany,Maryland,2020-05-27 02:32:31,39.62357628,-78.69280486,14,0,162,"Allegany, Maryland, US",176,US
36003,Allegany,New York,2020-05-27 02:32:31,42.25748406,-78.02750466,0,0,44,"Allegany, New York, US",44,US
37005,Alleghany,North Carolina,2020-05-27 02:32:31,36.49360862,-81.12857041,0,0,13,"Alleghany, North Carolina, US",13,US
51005,Alleghany,Virginia,2020-05-27 02:32:31,37.78636074,-80.00222498,2,0,14,"Alleghany, Virginia, US",16,US
42003,Allegheny,Pennsylvania,2020-05-27 02:32:31,40.46809875,-79.98167747,160,0,1656,"Allegheny, Pennsylvania, US",1816,US
18003,Allen,Indiana,2020-05-27 02:32:31,41.09194313,-85.06800636,66,0,1243,"Allen, Indiana, US",1309,US
20001,Allen,Kansas,2020-05-27 02:32:31,37.88582951,-95.30030847,0,0,1,"Allen, Kansas, US",1,US
21003,Allen,Kentucky,2020-05-27 02:32:31,36.75197631,-86.19457544,3,0,53,"Allen, Kentucky, US",56,US
22003,Allen,Louisiana,2020-05-27 02:32:31,30.65385745,-92.82442028,10,0,174,"Allen, Louisiana, US",184,US
39003,Allen,Ohio,2020-05-27 02:32:31,40.77285242,-84.10802343,31,0,160,"Allen, Ohio, US",191,US
45005,Allendale,South Carolina,2020-05-27 02:32:31,32.98837386,-81.35321066,3,0,31,"Allendale, South Carolina, US",34,US
26007,Alpena,Michigan,2020-05-27 02:32:31,45.03477666,-83.62212411,9,0,86,"Alpena, Michigan, US",95,US
6003,Alpine,California,2020-05-27 02:32:31,38.59678594,-119.8223594,0,0,2,"Alpine, California, US",2,US
6005,Amador,California,2020-05-27 02:32:31,38.44583082,-120.65696,0,0,10,"Amador, California, US",10,US
51007,Amelia,Virginia,2020-05-27 02:32:31,37.34081025,-77.98584649,1,0,22,"Amelia, Virginia, US",23,US
51009,Amherst,Virginia,2020-05-27 02:32:31,37.60308293,-79.14548696,0,0,26,"Amherst, Virginia, US",26,US
28005,Amite,Mississippi,2020-05-27 02:32:31,31.17467303,-90.80501621,1,0,52,"Amite, Mississippi, US",53,US
2020,Anchorage,Alaska,2020-05-27 02:32:31,61.14998174,-149.14269860000005,4,0,203,"Anchorage, Alaska, US",207,US
20003,Anderson,Kansas,2020-05-27 02:32:31,38.21413251,-95.29272815,0,0,1,"Anderson, Kansas, US",1,US
21005,Anderson,Kentucky,2020-05-27 02:32:31,38.00671029,-84.99171713,1,0,14,"Anderson, Kentucky, US",15,US
45007,Anderson,South Carolina,2020-05-27 02:32:31,34.51828081,-82.63959517,8,0,213,"Anderson, South Carolina, US",221,US
47001,Anderson,Tennessee,2020-05-27 02:32:31,36.12684348,-84.19965764,1,0,39,"Anderson, Tennessee, US",40,US
48001,Anderson,Texas,2020-05-27 02:32:31,31.81534745,-95.65354823,0,0,66,"Anderson, Texas, US",66,US
29003,Andrew,Missouri,2020-05-27 02:32:31,39.98492163,-94.80163024,0,0,24,"Andrew, Missouri, US",24,US
