FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Deaths,Recovered,Active,Combined_Key,Confirmed,Country_Region
45001,Abbeville,South Carolina,2020-04-27 02:30:52,34.22333378,-82.46170658,0,0,27,"Abbeville, South Carolina, US",27,US
22001,Acadia,Louisiana,2020-04-27 02:30:52,30.2950649,-92.41419698,7,0,123,"Acadia, Louisiana, US",130,US
51001,Accomack,Virginia,2020-04-27 02:30:52,37.76707161,-75.63234615,3,0,184,"Accomack, Virginia, US",187,US
16001,Ada,Idaho,2020-04-27 02:30:52,43.4526575,-116.24155159999998,15,0,635,"Ada, Idaho, US",650,US
19001,Adair,Iowa,2020-04-27 02:30:52,41.33075609,-94.47105874,0,0,1,"Adair, Iowa, US",1,US
21001,Adair,Kentucky,2020-04-27 02:30:52,37.10459774,-85.28129668,9,0,74,"Adair, Kentucky, US",83,US
29001,Adair,Missouri,2020-04-27 02:30:52,40.19058551,-92.60078167,0,0,12,"Adair, Missouri, US",12,US
40001,Adair,Oklahoma,2020-04-27 02:30:52,35.88494195,-94.65859267,3,0,52,"Adair, Oklahoma, US",55,US
8001,Adams,Colorado,2020-04-27 02:30:52,39.87432092,-104.3362578,58,0,1290,"Adams, Colorado, US",1348,US
16003,Adams,Idaho,2020-04-27 02:30:52,44.89333571,-116.4545247,0,0,3,"Adams, Idaho, US",3,US
17001,Adams,Illinois,2020-04-27 02:30:52,39.98815591,-91.18786813,0,0,32,"Adams, Illinois, US",32,US
18001,Adams,Indiana,2020-04-27 02:30:52,40.7457653,-84.93671406,1,0,7,"Adams, Indiana, US",8,US
28001,Adams,Mississippi,2020-04-27 02:30:52,31.47669768,-91.35326037,7,0,106,"Adams, Mississippi, US",113,US
31001,Adams,Nebraska,2020-04-27 02:30:52,40.52449420000001,-98.50117804,2,0,127,"Adams, Nebraska, US",129,US
39001,Adams,Ohio,2020-04-27 02:30:52,38.84541072,-83.4718964,0,0,4,"Adams, Ohio, US",4,US
42001,Adams,Pennsylvania,2020-04-27 02:30:52,39.87140411,-77.21610347,1,0,116,"Adams, Pennsylvania, US",117,US
53001,Adams,Washington,2020-04-26 00:00:00,46.98299757,-118.5601734,0,0,46,"Adams, Washington, US",46,US
55001,Adams,Wisconsin,2020-04-27 02:30:52,43.96974651,-89.76782777,1,0,3,"Adams, Wisconsin, US",4,US
50001,Addison,Vermont,2020-04-27 02:30:52,44.03217337,-73.14130877,2,0,59,"Addison, Vermont, US",61,US
45003,Aiken,South Carolina,2020-04-27 02:30:52,33.54338026,-81.63645384,6,0,83,"Aiken, South Carolina, US",89,US
27001,Aitkin,Minnesota,2020-04-27 02:30:52,46.60962049,-93.4116826,0,0,1,"Aitkin, Minnesota, US",1,US
12001,Alachua,Florida,2020-04-27 02:30:52,29.67866525,-82.35928158,2,0,249,"Alachua, Florida, US",251,US
37001,Alamance,North Carolina,2020-04-27 02:30:52,36.0434701,-79.39976137,1,0,89,"Alamance, North Carolina, US",90,US
