FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Deaths,Recovered,Active,Combined_Key,Confirmed,Country_Region
45001,Abbeville,South Carolina,2020-05-19 02:32:18,34.22333378,-82.46170658,0,0,35,"Abbeville, South Carolina, US",35,US
22001,Acadia,Louisiana,2020-05-19 02:32:18,30.2950649,-92.41419698,12,0,245,"Acadia, Louisiana, US",257,US
51001,Accomack,Virginia,2020-05-19 02:32:18,37.76707161,-75.63234615,9,0,681,"Accomack, Virginia, US",690,US
16001,Ada,Idaho,2020-05-19 02:32:18,43.4526575,-116.24155159999998,22,0,758,"Ada, Idaho, US",780,US
19001,Adair,Iowa,2020-05-19 02:32:18,41.33075609,-94.47105874,0,0,6,"Adair, Iowa, US",6,US
21001,Adair,Kentucky,2020-05-19 02:32:18,37.10459774,-85.28129668,14,0,81,"Adair, Kentucky, US",95,US
29001,Adair,Missouri,2020-05-19 02:32:18,40.19058551,-92.60078167,0,0,29,"Adair, Missouri, US",29,US
40001,Adair,Oklahoma,2020-05-19 02:32:18,35.88494195,-94.65859267,3,0,72,"Adair, Oklahoma, US",75,US
8001,Adams,Colorado,2020-05-19 02:32:18,39.87432092,-104.3362578,102,0,2538,"Adams, Colorado, US",2640,US
16003,Adams,Idaho,2020-05-19 02:32:18,44.89333571,-116.4545247,0,0,3,"Adams, Idaho, US",3,US
17001,Adams,Illinois,2020-05-19 02:32:18,39.98815591,-91.18786813,1,0,41,"Adams, Illinois, US",42,US
18001,Adams,Indiana,2020-05-19 02:32:18,40.7457653,-84.93671406,1,0,9,"Adams, Indiana, US",10,US
19003,Adams,Iowa,2020-05-19 02:32:18,41.02903567,-94.69932645,0,0,1,"Adams, Iowa, US",1,US
28001,Adams,Mississippi,2020-05-19 02:32:18,31.47669768,-91.35326037,15,0,158,"Adams, Mississippi, US",173,US
31001,Adams,Nebraska,2020-05-19 02:32:18,40.52449420000001,-98.50117804,3,0,249,"Adams, Nebraska, US",252,US
39001,Adams,Ohio,2020-05-19 02:32:18,38.84541072,-83.4718964,1,0,7,"Adams, Ohio, US",8,US
42001,Adams,Pennsylvania,2020-05-19 02:32:18,39.87140411,-77.21610347,5,0,189,"Adams, Pennsylvania, US",194,US
53001,Adams,Washington,2020-05-19 02:32:18,46.98299757,-118.5601734,0,0,50,"Adams, Washington, US",50,US
55001,Adams,Wisconsin,2020-05-19 02:32:18,43.96974651,-89.76782777,1,0,3,"Adams, Wisconsin, US",4,US
50001,Addison,Vermont,2020-05-19 02:32:18,44.03217337,-73.14130877,2,0,60,"Addison, Vermont, US",62,US
45003,Aiken,South Carolina,2020-05-19 02:32:18,33.54338026,-81.63645384,7,0,148,"Aiken, South Carolina, US",155,US
27001,Aitkin,Minnesota,2020-05-19 02:32:18,46.60962049,-93.4116826,0,0,4,"Aitkin, Minnesota, US",4,US
12001,Alachua,Florida,2020-05-19 02:32:18,29.67866525,-82.35928158,7,0,330,"Alachua, Florida, US",337,US
37001,Alamance,North Carolina,2020-05-19 02:32:18,36.0434701,-79.39976137,13,0,211,"Alamance, North Carolina, US",224,US
6001,Alameda,California,2020-05-19 02:32:18,37.64629437,-121.8929271,83,0,2374,"Alameda, California, US",2457,US
8003,Alamosa,Colorado,2020-05-19 02:32:18,37.57250606,-105.7885451,2,0,40,"Alamosa, Colorado, US",42,US
36001,Albany,New York,2020-05-19 02:32:18,42.60060306,-73.97723916,68,0,1542,"Albany, New York, US",1610,US
56001,Albany,Wyoming,2020-05-19 02:32:18,41.65498705,-105.7235415,0,0,10,"Albany, Wyoming, US",10,US
51003,Albemarle,Virginia,2020-05-19 02:32:18,38.02080697,-78.55481085,4,0,135,"Albemarle, Virginia, US",139,US
26001,Alcona,Michigan,2020-05-19 02:32:18,44.6846864,-83.59507875,1,0,5,"Alcona, Michigan, US",6,US
28003,Alcorn,Mississippi,2020-05-19 02:32:18,34.88084463,-88.57996173,1,0,11,"Alcorn, Mississippi, US",12,US
17003,Alexander,Illinois,2020-05-19 02:32:18,37.18049267,-89.32910838,0,0,8,"Alexander, Illinois, US",8,US
37003,Alexander,North Carolina,2020-05-19 02:32:18,35.922379600000006,-81.17751948,0,0,21,"Alexander, North Carolina, US",21,US
51510,Alexandria,Virginia,2020-05-19 02:32:18,38.814003,-77.08183073,34,0,1476,"Alexandria, Virginia, US",1510,US
40003,Alfalfa,Oklahoma,2020-05-19 02:32:18,36.73090616,-98.32408495,0,0,1,"Alfalfa, Oklahoma, US",1,US
19005,Allamakee,Iowa,2020-05-19 02:32:18,43.28383218,-91.37860922,4,0,110,"Allamakee, Iowa, US",114,US
26005,Allegan,Michigan,2020-05-19 02:32:18,42.59147037,-85.89102866,2,0,184,"Allegan, Michigan, US",186,US
24001,Allegany,Maryland,2020-05-19 02:32:18,39.62357628,-78.69280486,14,0,150,"Allegany, Maryland, US",164,US
36003,Allegany,New York,2020-05-19 02:32:18,42.25748406,-78.02750466,0,0,44,"Allegany, New York, US",44,US
37005,Alleghany,North Carolina,2020-05-19 02:32:18,36.49360862,-81.12857041,0,0,12,"Alleghany, North Carolina, US",12,US
51005,Alleghany,Virginia,2020-05-19 02:32:18,37.78636074,-80.00222498,0,0,9,"Alleghany, Virginia, US",9,US
42003,Allegheny,Pennsylvania,2020-05-19 02:32:18,40.46809875,-79.98167747,143,0,1498,"Allegheny, Pennsylvania, US",1641,US
18003,Allen,Indiana,2020-05-19 02:32:18,41.09194313,-85.06800636,61,0,972,"Allen, Indiana, US",1033,US
21003,Allen,Kentucky,2020-05-19 02:32:18,36.75197631,-86.19457544,1,0,38,"Allen, Kentucky, US",39,US
22003,Allen,Louisiana,2020-05-19 02:32:18,30.65385745,-92.82442028,10,0,108,"Allen, Louisiana, US",118,US
39003,Allen,Ohio,2020-05-19 02:32:18,40.77285242,-84.10802343,30,0,138,"Allen, Ohio, US",168,US
45005,Allendale,South Carolina,2020-05-19 02:32:18,32.98837386,-81.35321066,3,0,30,"Allendale, South Carolina, US",33,US
26007,Alpena,Michigan,2020-05-19 02:32:18,45.03477666,-83.62212411,9,0,82,"Alpena, Michigan, US",91,US
6003,Alpine,California,2020-05-19 02:32:18,38.59678594,-119.8223594,0,0,2,"Alpine, California, US",2,US
6005,Amador,California,2020-05-19 02:32:18,38.44583082,-120.65696,0,0,10,"Amador, California, US",10,US
51007,Amelia,Virginia,2020-05-19 02:32:18,37.34081025,-77.98584649,1,0,19,"Amelia, Virginia, US",20,US
51009,Amherst,Virginia,2020-05-19 02:32:18,37.60308293,-79.14548696,0,0,25,"Amherst, Virginia, US",25,US
28005,Amite,Mississippi,2020-05-19 02:32:18,31.17467303,-90.80501621,0,0,46,"Amite, Mississippi, US",46,US
2020,Anchorage,Alaska,2020-05-19 02:32:18,61.14998174,-149.14269860000005,4,0,195,"Anchorage, Alaska, US",199,US
20003,Anderson,Kansas,2020-05-19 02:32:18,38.21413251,-95.29272815,0,0,1,"Anderson, Kansas, US",1,US
21005,Anderson,Kentucky,2020-05-19 02:32:18,38.00671029,-84.99171713,1,0,12,"Anderson, Kentucky, US",13,US
45007,Anderson,South Carolina,2020-05-19 02:32:18,34.51828081,-82.63959517,8,0,198,"Anderson, South Carolina, US",206,US
47001,Anderson,Tennessee,2020-05-19 02:32:18,36.12684348,-84.19965764,1,0,36,"Anderson, Tennessee, US",37,US
48001,Anderson,Texas,2020-05-19 02:32:18,31.81534745,-95.65354823,0,0,54,"Anderson, Texas, US",54,US
29003,Andrew,Missouri,2020-05-19 02:32:18,39.98492163,-94.80163024,0,0,17,"Andrew, Missouri, US",17,US
48003,Andrews,Texas,2020-05-19 02:32:18,32.30468633,-102.6376548,0,0,22,"Andrews, Texas, US",22,US
23001,Androscoggin,Maine,2020-05-19 02:32:18,44.1664747,-70.20380627,2,0,137,"Androscoggin, Maine, US",139,US
48005,Angelina,Texas,2020-05-19 02:32:18,31.25457347,-94.60901487,1,0,138,"Angelina, Texas, US",139,US
24003,Anne Arundel,Maryland,2020-05-19 02:32:18,39.00670238,-76.60329337,142,0,2751,"Anne Arundel, Maryland, US",2893,US
27003,Anoka,Minnesota,2020-05-19 02:32:18,45.27476015,-93.24604565,42,0,827,"Anoka, Minnesota, US",869,US
37007,Anson,North Carolina,2020-05-19 02:32:18,34.97403241,-80.09953279,0,0,50,"Anson, North Carolina, US",50,US
31003,Antelope,Nebraska,2020-05-19 02:32:18,42.17695516,-98.0666283,0,0,6,"Antelope, Nebraska, US",6,US
26009,Antrim,Michigan,2020-05-19 02:32:18,44.99690221,-85.15503082,0,0,11,"Antrim, Michigan, US",11,US
4001,Apache,Arizona,2020-05-19 02:32:18,35.39465006,-109.4892383,20,0,968,"Apache, Arizona, US",988,US
19007,Appanoose,Iowa,2020-05-19 02:32:18,40.74324454,-92.86865906,3,0,5,"Appanoose, Iowa, US",8,US
13001,Appling,Georgia,2020-05-19 02:32:18,31.74847232,-82.28909114,11,0,100,"Appling, Georgia, US",111,US
51011,Appomattox,Virginia,2020-05-19 02:32:18,37.37569884,-78.81340003,0,0,25,"Appomattox, Virginia, US",25,US
48007,Aransas,Texas,2020-05-19 02:32:18,28.10556197,-96.9995047,0,0,3,"Aransas, Texas, US",3,US
8005,Arapahoe,Colorado,2020-05-19 02:32:18,39.64977461,-104.3353617,253,0,3514,"Arapahoe, Colorado, US",3767,US
48009,Archer,Texas,2020-05-19 02:32:18,33.61569967,-98.68754589,0,0,1,"Archer, Texas, US",1,US
8007,Archuleta,Colorado,2020-05-19 02:32:18,37.19474156,-107.04768670000001,0,0,8,"Archuleta, Colorado, US",8,US
26011,Arenac,Michigan,2020-05-19 02:32:18,44.0636262,-83.89277559,1,0,30,"Arenac, Michigan, US",31,US
5001,Arkansas,Arkansas,2020-05-19 02:32:18,34.29145151,-91.37277296,0,0,2,"Arkansas, Arkansas, US",2,US
51013,Arlington,Virginia,2020-05-19 02:32:18,38.8767675,-77.10139853,77,0,1561,"Arlington, Virginia, US",1638,US
42005,Armstrong,Pennsylvania,2020-05-19 02:32:18,40.81665618,-79.46290811,2,0,56,"Armstrong, Pennsylvania, US",58,US
